# node_id   x   y   h
158 1.37497895e+01 -2.72100089e+01 2.64354661e+00
159 1.50574818e+01 -2.72100089e+01 3.27775412e+00
160 1.63651741e+01 -2.72100089e+01 3.91196164e+00
161 1.76728664e+01 -2.72100089e+01 4.54616916e+00
162 1.89805587e+01 -2.72100089e+01 5.18037667e+00
163 2.02882510e+01 -2.72100089e+01 5.81458419e+00
164 2.15959433e+01 -2.72100089e+01 6.44879170e+00
165 2.29036356e+01 -2.72100089e+01 7.08299922e+00
166 2.42113279e+01 -2.72100089e+01 7.71720674e+00
167 2.55190202e+01 -2.72100089e+01 8.35141425e+00
168 9.17286638e+00 -2.60775141e+01 5.95673395e-01
169 1.04805587e+01 -2.60775141e+01 1.22188833e+00
170 1.17882510e+01 -2.60775141e+01 1.84810327e+00
171 1.30959433e+01 -2.60775141e+01 2.47431821e+00
172 1.44036356e+01 -2.60775141e+01 3.10058213e+00
173 1.57113279e+01 -2.60775141e+01 3.73262565e+00
174 1.70190202e+01 -2.60775141e+01 4.36683317e+00
175 1.83267125e+01 -2.60775141e+01 5.00104069e+00
176 1.96344048e+01 -2.60775141e+01 5.63524820e+00
177 2.09420972e+01 -2.60775141e+01 6.26945572e+00
178 2.22497895e+01 -2.60775141e+01 6.90366323e+00
179 2.35574818e+01 -2.60775141e+01 7.53787075e+00
180 2.48651741e+01 -2.60775141e+01 8.17207827e+00
181 2.61728664e+01 -2.60775141e+01 8.80628578e+00
182 8.51902023e+00 -2.49450194e+01 4.45473162e-01
183 9.82671254e+00 -2.49450194e+01 1.07168810e+00
184 1.11344048e+01 -2.49450194e+01 1.69790304e+00
185 1.24420972e+01 -2.49450194e+01 2.32411797e+00
186 1.37497895e+01 -2.49450194e+01 2.95033291e+00
187 1.50574818e+01 -2.49450194e+01 3.57654785e+00
188 1.63651741e+01 -2.49450194e+01 4.20276279e+00
189 1.76728664e+01 -2.49450194e+01 4.82897772e+00
190 1.89805587e+01 -2.49450194e+01 5.45693433e+00
191 2.02882510e+01 -2.49450194e+01 6.09011973e+00
192 2.15959433e+01 -2.49450194e+01 6.72432725e+00
193 2.29036356e+01 -2.49450194e+01 7.35853476e+00
194 2.42113279e+01 -2.49450194e+01 7.99274228e+00
195 2.55190202e+01 -2.49450194e+01 8.62694980e+00
196 7.86517408e+00 -2.38125246e+01 2.95272928e-01
197 9.17286638e+00 -2.38125246e+01 9.21487866e-01
198 1.04805587e+01 -2.38125246e+01 1.54770280e+00
199 1.17882510e+01 -2.38125246e+01 2.17391774e+00
200 1.30959433e+01 -2.38125246e+01 2.80013268e+00
201 1.44036356e+01 -2.38125246e+01 3.42634761e+00
202 1.57113279e+01 -2.38125246e+01 4.05256255e+00
203 1.70190202e+01 -2.38125246e+01 4.67877749e+00
204 1.83267125e+01 -2.38125246e+01 5.30499243e+00
205 1.96344048e+01 -2.38125246e+01 5.93120736e+00
206 2.09420972e+01 -2.38125246e+01 6.55742230e+00
